filename,label,transcript
audio_173.wav,3.0," My favorite place to visit would be Japan, because well, I'm really interested in their culture. I'm really into all Japanese stuff like anime, their history, etc. So that's why that would be my favorite place to visit. the food that I would like to try, I would like to try the yoshas, I would like to try the cakes that they sell that have different flavors mainly for fruits and the season that I would like to go is during the cherry seasons when all the trees have like those pink leaves so I think I think that's really cool."
audio_138.wav,3.0," I love to reading and my hobbies are reading. Emma discovered her love for reading at an Engage. When the pages of a one note fairy tale book transported her to a world of magic and adventure. Now with the bustling career and fast pace in life, reading has become her sanctuary, her way of unwinding after a long day. This reading was very inspiring to me, so that I started reading by inspiring her and her collection has grown significantly over the years filling her bookshelves with the rich tasspery of journal ranging from mystery and science fiction to historical fiction and contemporary literature. On weekends, I used to reading sessions extended to leisure afternoons in the nearby park or a quiet cave where the background hum of nature or the soft murmurs of people adds a comforting soundtrack to her literacy adventures. Though reading, he is not only a not-only-exposer-debate, but he is also a writer, writer and writer. He is also a writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer, writer,"
audio_127.wav,2.0," Yeah, my favorite place to visit is Tirumala, it is near Chittor district. There is a very favorite temple, in the temple, Lord Venkateswara is there. There is a famous, famous, famous Buddhist, Doshya, I love, I love that Doshya very much. When I am travel to that place, with my friends, there is a very, a, a, a, a, a, a, a, a, a, I enjoy it with my friends and I visit so many places in that Tirumala."
audio_95.wav,2.0," I am going to tell about my hobby and my hobby generally a hobby is considered as a regular activity that is done for enjoyment during leisure time. Hobby include themed items and objects engaging in creative and artistic pursuits, playing sports are doing any creative things or participating in any of the activities. I generally interested in reading books or developing fashions, making it diverse and different from others, how we tend to follow trends in society and also the advancing production and technology of this generation. Thank you."
audio_73.wav,3.5, this is the tough one so my best day of my life basically right now I will say it's the day my daughter was born and my wife was pretty happy with that she always had the best day of my life to be on a holiday మార్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల్ల� నినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినిన�
audio_34.wav,4.0, kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa Thank you for watching.
audio_120_2.wav,3.0," I want to ride the train, however the file is very long. There are several elders ahead of me and then when the train comes I step in the train slowly and let the elders move ahead of me and have to locate their seat in a proper place. I allow the elders to sit down and I find myself standing in the train while the train is moving slowly going to the north side of the train."
audio_224.wav,2.0," Can you describe me sharing your travel experience getting this in there? Well, I tried to go to a province in Lithuania where I tried to do a vacation. Well, at first, I'm hesitant if I will go to a land travel or I should go. on an airplane travel but the experience was great, the destination was beautiful and all the experiences is great because I see new people, new destination and I think that's really great. Why are there any local foods or dishes from that place that you love? I love the fruits, the fruits there are easily to eat."
audio_342.wav,2.0," A market place is a very busy place where the people go to buy articles of their needs. It is a center of an attraction both buyers and sellers. A market a way to crowd these cars, horses, donkeys, and camels, they come to load it with the process of a season, such as cotton, green, oil, seeds, etc., vegetables, etc."
audio_228.wav,2.0," An airport is a baselighting hob filled with travellers, wheeling suitcases, the sounds of announcement and the aroma of coffee. bright shop lined the concourses, concourses while large window overlooked planes taking often the landing and anticipation as people embark on their journeys. It is in Russia."
